"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"10653",8308,4,62,3,2,1
"10654",11329,15,77,1,2,2
"10656",16994,0,28,1,2,2
"10657",139297,5,24,2,1,1
"10659",32100,4,63,2,1,1
"10661",56647,1,62,1,2,2
"10662",16994,5,38,2,1,2
"10664",28323,0,44,1,2,1
"10665",28323,3,30,3,3,1
"10666",3021,2,45,2,4,2
"10668",20770,7,24,2,2,1
"10669",16994,3,36,2,1,2
"10670",6798,3,34,2,2,2
"10671",3021,8,81,1,2,1
"10672",5287,5,32,2,2,2
"10673",16994,0,24,2,3,2
"10674",755,2,83,1,1,1
"10677",32100,8,52,1,1,2
"10678",755,6,18,2,2,2
"10679",755,2,67,3,3,1
"10680",20770,4,58,2,2,2
"10683",11329,11,80,2,2,1
"10684",16994,4,62,1,2,1
"10685",5287,1,20,2,1,2
"10687",13595,7,58,3,1,1
"10688",3021,11,23,1,2,1
"10691",52510.1445,1,43,2,3,2
"10692",56647,2,37,3,3,2
"10694",3021,2,48,2,2,1
"10695",8308,1,57,3,4,1
"10697",24547,1,27,1,1,2
"10699",16994,2,35,2,2,2
"10700",6798,11,36,2,2,1
"10703",11329,0,29,3,3,2
"10704",3021,3,30,2,3,2
"10705",28323,2,46,2,2,2
"10711",755,4,38,2,1,1
"10713",6798,5,32,2,1,2
"10714",3021,0,44,2,3,1
"10715",24547,6,43,3,2,1
"10716",32100,1,58,1,2,1
"10717",13595,5,44,3,3,1
"10718",8308,5,27,2,2,1
"10719",9819,3,35,1,1,2
"10726",16994,1,45,2,2,2
"10729",20770,3,51,1,1,1
"10731",56647,2,41,1,2,2
"10733",56647,8,40,1,1,1
"10735",24547,4,30,2,1,1
"10737",139297,3,37,1,1,2
"10738",56647,2,51,2,1,2
"10739",11329,0,52,3,2,2
"10740",16994,3,26,3,1,2
"10741",11329,7,25,3,1,2
"10742",8308,6,47,3,3,1
"10744",20770,8,46,2,2,2
"10747",20770,3,27,2,1,2
"10748",52510.1445,2,25,2,1,1
"10749",13595,1,29,3,2,2
"10750",32100,12,41,2,2,1
"10751",8308,3,23,1,1,2
"10752",13595,5,26,2,1,1
"10755",20770,6,22,2,1,2
"10756",56647,0,34,1,2,1
"10759",13595,2,32,2,2,2
"10760",13595,9,22,3,1,2
"10761",20770,8,50,2,3,2
"10762",755,8,19,3,2,1
"10764",52510.1445,7,56,1,2,2
"10765",11329,2,22,2,3,2
"10766",24547,3,31,2,2,1
"10768",32100,4,22,2,2,1
"10769",13595,3,42,2,2,2
"10770",32100,2,31,2,2,2
"10773",56647,6,32,2,2,2
"10775",28323,3,32,1,1,2
"10778",52510.1445,6,36,1,2,1
"10779",52510.1445,5,32,2,1,2
"10781",56647,1,36,1,2,2
"10783",24547,4,29,2,1,2
"10784",16994,5,31,2,3,2
"10785",24547,3,40,3,1,2
"10786",16994,2,30,1,1,2
"10787",6798,4,27,3,3,2
"10788",28323,3,49,2,1,1
"10789",20770,4,23,1,3,2
"10790",13595,3,30,2,4,2
"10792",5287,4,47,2,1,2
"10793",16994,2,41,3,1,2
"10794",13595,7,28,2,1,1
"10795",56647,1,40,2,1,2
"10796",16994,4,22,2,1,2
"10797",3021,7,58,2,4,1
"10799",20770,5,56,2,3,1
"10800",28323,9,35,1,2,1
"10801",28323,5,38,1,2,1
"10803",56647,3,33,2,2,2
"10804",5287,2,42,2,1,2
"10805",32100,1,33,3,1,2
"10807",11329,2,26,2,2,2
"10808",32100,1,50,1,1,2
"10809",32100,3,32,2,3,1
"10810",56647,12,54,2,1,2
"10811",52510.1445,4,60,1,1,2
"10812",11329,0,44,2,2,2
"10817",755,2,34,2,3,1
"10818",32100,8,51,2,2,2
"10819",16994,6,57,2,2,1
"10820",16994,5,27,2,1,2
"10821",6798,1,19,1,2,2
"10824",8308,3,63,2,1,2
"10826",20770,2,55,1,3,1
"10827",28323,5,52,2,2,1
"10829",16994,3,47,2,3,1
"10831",9819,8,22,2,2,2
"10832",16994,7,31,2,2,1
"10833",28323,1,59,1,2,1
"10834",3021,9,68,2,2,2
"10839",16994,2,28,2,2,1
"10843",20770,5,67,1,1,1
"10845",52510.1445,2,44,2,2,2
"10846",52510.1445,1,39,2,2,1
"10847",56647,5,52,2,4,1
"10848",56647,3,41,1,1,2
"10851",52510.1445,2,40,1,2,2
"10852",56647,2,46,2,2,1
"10853",5287,2,39,2,2,1
"10855",5287,2,18,2,2,2
"10856",755,3,38,2,2,2
"10857",9819,2,22,2,1,2
"10858",9819,4,27,1,1,2
"10859",8308,4,30,2,3,2
"10860",28323,2,28,3,1,2
"10861",32100,5,62,2,4,1
"10862",13595,2,36,1,1,2
"10865",28323,3,51,1,1,2
"10866",24547,4,53,1,1,1
"10867",8308,1,22,1,1,2
"10868",6798,5,30,2,2,1
"10870",24547,6,30,1,1,2
"10871",13595,5,33,2,2,2
"10875",13595,0,45,1,2,2
"10882",20770,2,25,2,2,2
"10883",20770,3,27,1,1,1
"10885",16994,8,87,1,3,2
"10889",16994,6,40,2,2,2
"10891",56647,5,35,2,2,2
"10892",5287,4,19,2,2,1
"10896",52510.1445,1,33,2,3,2
"10897",9819,3,27,2,2,1
"10898",24547,1,29,2,1,2
"10900",3021,6,19,2,2,2
"10901",32100,2,38,3,2,1
